Molecule  dE(S0-S1)  dE(S0-T1)  dE(S1-T1)  f12(S0-S1)
S843      2.0617     2.1469     -0.0852    0.0009
S844      2.1793     2.2697     -0.0904    0.0024
S845      2.2494     2.3475     -0.0981    0.0006
S846      2.3697     2.4635     -0.0939    0.0035
S847      1.9749     1.9798     -0.0049    0.0023
S848      2.1008     2.1566     -0.0558    0.0003
S849      2.0325     2.0653     -0.0328    0.0056
S850      2.1602     2.2345     -0.0742    0.0017
S851      2.1765     2.1998     -0.0233    0.0022
S852      2.1989     2.2177     -0.0188    0.0065
S853      2.3733     2.3980     -0.0247    0.0016
S854      2.4175     2.4335     -0.0160    0.0073
S855      2.0894     2.1008     -0.0114    0.0027
S856      2.1211     2.1991     -0.0780    0.0008
S857      2.2029     2.2207     -0.0178    0.0082
S858      2.2702     2.3619     -0.0917    0.0003
S859      2.0534     2.0696     -0.0162    0.0035
S860      2.3280     2.3888     -0.0608    0.0020
S861      2.3168     2.3772     -0.0604    0.0015
S862      2.4672     2.5536     -0.0864    0.0016
S863      2.0858     1.9868     0.0990     0.0023
S864      2.2422     2.1661     0.0761     0.0007
S865      2.0429     2.0049     0.0380     0.0067
S866      2.1936     2.1803     0.0133     0.0044
S867      2.4063     2.4443     -0.0379    0.0046
S868      2.4607     2.4343     0.0264     0.0082
S869      2.5590     2.6263     -0.0673    0.0034
S870      2.6349     2.6242     0.0106     0.0062
S871      2.2979     2.2108     0.0870     0.0039
S872      2.3670     2.3142     0.0529     0.0003
S873      2.2977     2.2338     0.0639     0.0106
S874      2.3911     2.2869     0.1042     0.0029
S875      2.1036     2.1041     -0.0005    0.0051
S876      2.1492     2.2325     -0.0833    0.0029
S877      2.0486     2.0122     0.0364     0.0095
S878      2.1814     2.1717     0.0097     0.0029
S879      2.2516     2.1965     0.0551     0.0128
S880      1.9033     1.9357     -0.0324    0.0005
S881      1.9865     2.0093     -0.0228    0.0034
S882      1.9924     2.0359     -0.0435    0.0017
S883      2.0682     2.1165     -0.0483    0.0027
S884      2.0341     1.9353     0.0987     0.0133
S885      2.3102     2.1949     0.1152     0.0024
S886      2.2785     2.1576     0.1208     0.0165
S887      2.0178     1.9756     0.0422     0.0001
S888      1.9691     1.9164     0.0527     0.0063
S889      2.1935     2.1603     0.0331     0.0026
