Molecule  dE(S0-S1)  dE(S0-T1)  dE(S1-T1)  f12(S0-S1)
S843      2.3250     2.2230     0.1020     0.0020
S844      2.4850     2.3370     0.1480     0.0036
S845      2.5460     2.4270     0.1190     0.0021
S846      2.7080     2.5050     0.2030     0.0106
S847      2.2020     1.9020     0.3000     0.0037
S848      2.3700     2.0670     0.3030     0.0009
S849      2.3120     2.0470     0.2650     0.0046
S850      2.4850     2.2440     0.2410     0.0020
S851      2.4500     2.2270     0.2230     0.0041
S852      2.5280     2.2880     0.2400     0.0059
S853      2.6790     2.4000     0.2790     0.0034
S854      2.7750     2.4840     0.2910     0.0133
S855      2.3190     1.9710     0.3480     0.0061
S856      2.4060     2.0650     0.3410     0.0001
S857      2.4850     2.1450     0.3400     0.0059
S858      2.6010     2.2720     0.3290     0.0009
S859      2.2650     2.0150     0.2500     0.0096
S860      2.6360     2.3740     0.2620     0.0037
S861      2.6200     2.4740     0.1460     0.0035
S862      2.8080     2.5350     0.2730     0.0091
S863      2.3440     1.9300     0.4140     0.0023
S864      2.5310     2.1070     0.4240     0.0004
S865      2.3370     1.9740     0.3630     0.0048
S866      2.5320     2.2010     0.3310     0.0017
S867      2.7210     2.3550     0.3660     0.0096
S868      2.8160     2.3730     0.4430     0.0094
S869      2.8930     2.5280     0.3650     0.0075
S870      3.0080     2.5620     0.4460     0.0161
S871      2.6050     2.1270     0.4780     0.0056
S872      2.7030     2.1690     0.5340     0.0004
S873      2.6190     2.1360     0.4830     0.0082
S874      2.7510     2.2230     0.5280     0.0004
S875      2.3970     2.1020     0.2950     0.0087
S876      2.4710     2.2880     0.1830     0.0015
S877      2.3150     1.8690     0.4460     0.0182
S878      2.4450     2.0720     0.3730     0.0084
S879      2.5540     2.0350     0.5190     0.0319
S880      2.0850     1.8640     0.2210     0.0002
S881      2.2100     1.8330     0.3770     0.0074
S882      2.2350     1.9770     0.2580     0.0013
S883      2.3540     2.0060     0.3480     0.0088
S884      2.3440     1.8770     0.4670     0.0164
S885      2.6010     2.1150     0.4860     0.0058
S886      2.6210     2.0820     0.5390     0.0293
S887      2.2240     1.9080     0.3160     0.0008
S888      2.2290     1.8140     0.4150     0.0052
S889      2.4510     2.0800     0.3710     0.0019
S890      2.4920     2.0500     0.4420     0.0074
S891      2.4850     2.2290     0.2560     0.0084
S892      2.6980     2.4830     0.2150     0.0053
S893      2.6330     2.4290     0.2040     0.0032
S894      2.4780     1.8970     0.5810     0.0204
S895      2.5000     2.1170     0.3830     0.0088
S896      2.6530     2.0450     0.6080     0.0315
S897      2.3940     1.8550     0.5390     0.0088
S898      2.2240     1.9350     0.2890     0.0006
S899      2.3880     2.0220     0.3660     0.0065
S900      2.6280     1.9960     0.6320     0.0228
S901      2.7980     2.2660     0.5320     0.0075
S902      2.8440     2.1610     0.6830     0.0353
S903      2.4940     2.0880     0.4060     0.0003
S904      2.5220     1.9250     0.5970     0.0091
S905      2.5370     2.1260     0.4110     0.0019
S906      2.6070     2.0770     0.5300     0.0046
S907      2.6350     2.2940     0.3410     0.0129
S908      2.8690     2.6430     0.2260     0.0049
S909      2.7250     2.5210     0.2040     0.0024
S910      2.9780     2.4540     0.5240     0.0000
S911      2.3910     2.0520     0.3390     0.0135
S912      2.6570     2.3300     0.3270     0.0248
S913      2.3110     1.8550     0.4560     0.0060
S914      2.2760     1.8880     0.3880     0.0113
S915      2.5610     2.1000     0.4610     0.0144
S916      2.6120     2.2410     0.3710     0.0116
S917      2.8280     2.4530     0.3750     0.0206
S918      2.2930     1.9040     0.3890     0.0063
S919      2.4360     2.1150     0.3210     0.0076
S920      2.5660     2.0980     0.4680     0.0124
S921      2.3560     2.0230     0.3330     0.0152
S922      2.6990     2.2380     0.4610     0.0238
S923      2.5860     2.1790     0.4070     0.0016
S924      2.2590     1.9760     0.2830     0.0047
S925      2.6340     2.1620     0.4720     0.0096
S926      2.6170     2.2380     0.3790     0.0198
S927      2.9200     2.4130     0.5070     0.0278
S928      2.5910     2.2240     0.3670     0.0001
