# sample_id: compound number in the SI
# fc_gap: vertical excitation energy in eV (frozen core approximation)
# fluo_peak_w: emission energy in eV
# fc_corr: energy difference between vertical excitation energy and emission energy in eV
# osc_strength: oscillator strength of vertical transition
# fluo_rate_abs: fluorescence rate estimated from oscillator strength and excitation energy of vertical transition, in 1e6 s-1
# fluo_rate_em: fluorescence rate estimated from Franck-Condon calculations, in 1e6 s-1
sample_id,fc_gap,fluo_peak_w,fc_corr,osc_strength,fluo_rate_abs,fluo_rate_em
S1,1.299482e+00,1.231001e+00,6.848108e-02,1.749374e-08,1.281837e-06,1.001943e-06
S2,1.182792e+00,1.108328e+00,7.446435e-02,8.159945e-04,4.953515e-02,3.680967e-02
S3,1.611469e+00,1.454390e+00,1.570789e-01,7.639742e-04,8.608595e-02,5.255372e-02
S4,1.862462e+00,1.769393e+00,9.306937e-02,2.776405e-03,4.178950e-01,3.297973e-01
S5,1.614825e+00,1.112768e+00,5.020569e-01,1.074978e-04,1.216354e-02,3.157823e-03
S6,1.642865e+00,1.482176e+00,1.606888e-01,2.686025e-08,3.145744e-06,1.930120e-06
S7,1.925427e+00,1.705061e+00,2.203656e-01,7.139481e-04,1.148498e-01,6.334971e-02
S8,1.512281e+00,1.300948e+00,2.113331e-01,1.605031e-03,1.592789e-01,7.613198e-02
S9,1.701351e+00,1.620476e+00,8.087481e-02,3.597357e-04,4.518363e-02,3.622403e-02
S10,1.906175e+00,1.396034e+00,5.101406e-01,3.623058e-04,5.712290e-02,1.895001e-02
S11,1.820188e+00,1.749644e+00,7.054448e-02,3.365967e-03,4.838958e-01,4.033964e-01
S12,2.074467e+00,1.966907e+00,1.075605e-01,1.769420e-03,3.304103e-01,2.573461e-01
S13,2.125118e+00,2.003399e+00,1.217187e-01,4.443785e-03,8.708204e-01,6.605096e-01
S14,2.334623e+00,2.258971e+00,7.565165e-02,4.838848e-03,1.144419e+00,9.824379e-01
S15,1.738653e+00,1.563555e+00,1.750982e-01,1.700057e-03,2.229969e-01,1.332318e-01
S16,2.027714e+00,1.789972e+00,2.377413e-01,2.146149e-04,3.828975e-02,2.079176e-02
S17,1.913098e+00,1.712395e+00,2.007033e-01,1.112562e-03,1.766884e-01,1.037547e-01
S18,2.128119e+00,2.003729e+00,1.243893e-01,1.819774e-04,3.576175e-02,2.693740e-02
S19,1.535895e+00,1.156634e+00,3.792608e-01,2.813710e-03,2.880127e-01,1.157742e-01
S20,1.695941e+00,1.624566e+00,7.137477e-02,8.215113e-03,1.025285e+00,8.390118e-01
S21,1.064526e+00,9.850640e-01,7.946150e-02,7.026459e-04,3.455081e-02,2.432557e-02
S22,1.459950e+00,9.655586e-01,4.943916e-01,2.339269e-03,2.163545e-01,4.418778e-02
S23,1.610453e+00,9.989715e-01,6.114813e-01,9.603020e-04,1.080721e-01,1.613345e-02
S24,1.647846e+00,1.258225e+00,3.896212e-01,4.451561e-03,5.245118e-01,2.049123e-01
S25,1.850938e+00,1.424186e+00,4.267519e-01,3.185666e-03,4.735801e-01,1.999951e-01
S26,1.759596e+00,1.662902e+00,9.669358e-02,5.074537e-03,6.817604e-01,5.257219e-01
S27,2.012672e+00,1.882770e+00,1.299018e-01,9.510540e-03,1.671709e+00,1.222101e+00
S28,1.581037e+00,9.739005e-01,6.071366e-01,2.727835e-04,2.958774e-02,4.157151e-03
S29,1.886493e+00,1.287274e+00,5.992189e-01,1.308055e-03,2.019975e-01,4.598000e-02
S30,1.544891e+00,1.378908e+00,1.659826e-01,7.135373e-04,7.389616e-02,4.286394e-02
S31,1.807940e+00,1.580576e+00,2.273643e-01,3.805421e-03,5.397348e-01,2.808860e-01
S32,1.964710e+00,1.433224e+00,5.314856e-01,1.205472e-03,2.019127e-01,6.550534e-02
S33,1.996361e+00,1.739684e+00,2.566773e-01,4.929724e-03,8.525316e-01,4.332758e-01
S34,1.585675e+00,1.358371e+00,2.273038e-01,7.861914e-04,8.577612e-02,3.981656e-02
S35,2.044678e+00,1.396324e+00,6.483537e-01,4.858712e-05,8.814151e-03,1.979345e-03
S36,2.064294e+00,1.489592e+00,5.747024e-01,1.736419e-03,3.210757e-01,9.088986e-02
S37,1.898851e+00,1.801925e+00,9.692565e-02,3.061850e-03,4.790437e-01,3.756057e-01
S38,2.123371e+00,1.866492e+00,2.568795e-01,4.043108e-03,7.910004e-01,4.192799e-01
S39,2.224243e+00,2.104103e+00,1.201394e-01,7.899320e-03,1.695757e+00,1.304533e+00
S40,1.564459e+00,1.477738e+00,8.672086e-02,2.950882e-04,3.133934e-02,2.397817e-02
S41,1.840806e+00,1.494823e+00,3.459828e-01,8.399007e-04,1.234962e-01,6.190002e-02
S42,1.985742e+00,1.446065e+00,5.396771e-01,3.980557e-04,6.810812e-02,1.904345e-02
S43,2.064543e+00,1.840183e+00,2.243595e-01,1.366958e-03,2.528207e-01,1.435495e-01
S44,1.804439e+00,1.723147e+00,8.129178e-02,1.318676e-04,1.863082e-02,1.499992e-02
S45,1.661069e+00,1.496279e+00,1.647900e-01,1.898860e-03,2.273412e-01,1.377615e-01
S46,2.226434e+00,1.812133e+00,4.143017e-01,3.192106e-08,6.866044e-06,3.664940e-06
S47,2.107122e+00,1.979681e+00,1.274417e-01,5.896132e-04,1.135942e-01,8.474874e-02
S48,1.908176e+00,1.671765e+00,2.364111e-01,8.150245e-04,1.287707e-01,6.783589e-02
S49,2.020578e+00,1.873597e+00,1.469810e-01,2.479923e-03,4.393381e-01,3.068278e-01
S50,1.988161e+00,1.752319e+00,2.358418e-01,2.702417e-03,4.635162e-01,2.513235e-01
S51,2.390065e+00,2.217746e+00,1.723193e-01,1.521423e-03,3.771195e-01,2.639782e-01
S52,2.362619e+00,2.253721e+00,1.088984e-01,2.735505e-03,6.625744e-01,5.319942e-01
S53,2.608919e+00,2.505515e+00,1.034038e-01,1.619580e-03,4.783361e-01,3.952314e-01
S54,2.396868e+00,1.958122e+00,4.387461e-01,1.457078e-03,3.632291e-01,1.869468e-01
S55,2.152668e+00,1.993350e+00,1.593174e-01,2.420624e-03,4.867330e-01,3.381296e-01
S56,2.417641e+00,2.241724e+00,1.759174e-01,4.071458e-04,1.032626e-01,7.184700e-02
S57,1.939760e+00,1.322832e+00,6.169278e-01,2.330916e-03,3.805680e-01,8.677789e-02
S58,1.460396e+00,1.299379e+00,1.610169e-01,2.068009e-03,1.913830e-01,1.100719e-01
S59,1.786433e+00,1.391537e+00,3.948966e-01,4.643576e-03,6.430367e-01,2.640742e-01
S60,2.238148e+00,1.690995e+00,5.471525e-01,9.939472e-04,2.160481e-01,7.912217e-02
S61,2.311372e+00,2.008314e+00,3.030584e-01,5.329576e-03,1.235498e+00,6.156362e-01
S62,2.335233e+00,1.664670e+00,6.705631e-01,3.602870e-04,8.525478e-02,2.264034e-02
S63,1.854985e+00,1.333014e+00,5.219711e-01,5.733073e-04,8.560080e-02,2.284048e-02
S64,2.180654e+00,1.589973e+00,5.906812e-01,2.309908e-03,4.766261e-01,1.317056e-01
S65,2.080258e+00,1.938550e+00,1.417077e-01,4.072487e-03,7.647220e-01,5.498011e-01
S66,1.851402e+00,1.431798e+00,4.196042e-01,9.102375e-04,1.353835e-01,5.298945e-02
S67,1.961275e+00,1.742504e+00,2.187709e-01,2.485078e-03,4.147883e-01,2.331134e-01
S68,2.199029e+00,1.906311e+00,2.927188e-01,1.463856e-03,3.071638e-01,1.520362e-01
S69,2.378506e+00,2.217919e+00,1.605864e-01,5.497163e-03,1.349450e+00,9.698233e-01
S70,2.290253e+00,1.568126e+00,7.221271e-01,2.862529e-04,6.515182e-02,1.949869e-02
S71,1.949374e+00,1.767133e+00,1.822416e-01,7.644337e-06,1.260491e-03,7.895470e-04
S72,2.213775e+00,1.952665e+00,2.611104e-01,1.297586e-03,2.759389e-01,1.491076e-01
S73,2.319090e+00,2.233077e+00,8.601265e-02,1.076760e-04,2.512834e-02,2.111466e-02
S74,2.183616e+00,2.062317e+00,1.212997e-01,1.259296e-03,2.605495e-01,1.993625e-01
S75,1.652542e+00,1.567618e+00,8.492444e-02,6.074045e-03,7.197684e-01,5.617278e-01
S76,2.043815e+00,1.580050e+00,4.637659e-01,7.212479e-03,1.307307e+00,5.215004e-01
S77,2.256977e+00,2.166972e+00,9.000514e-02,7.426141e-03,1.641448e+00,1.357088e+00
S78,1.943165e+00,1.509362e+00,4.338033e-01,2.469314e-03,4.045808e-01,1.679019e-01
S79,2.053860e+00,1.908213e+00,1.456471e-01,4.578487e-03,8.380567e-01,5.923486e-01
S80,2.410658e+00,1.799270e+00,6.113881e-01,2.938021e-03,7.408593e-01,2.384194e-01
