Molecule  dE(S0-S1)  dE(S0-T1)  dE(S1-T1)  f12(S0-S1)
S447      2.7240     2.8040     -0.0800    0.0008
S448      2.6030     2.6450     -0.0420    0.0042
S449      2.7670     2.8330     -0.0660    0.0091
S450      3.2400     3.0480     0.1920     0.0391
S451      2.9030     2.9750     -0.0720    0.0030
S452      2.7790     2.7920     -0.0130    0.0093
S453      2.5130     2.4670     0.0460     0.0001
S454      2.4100     2.3790     0.0310     0.0019
S455      2.5930     2.6640     -0.0710    0.0067
S456      2.7440     2.7860     -0.0420    0.0144
S457      2.8800     2.8680     0.0120     0.0214
S458      3.4130     3.0960     0.3170     0.0931
S459      3.3100     2.8610     0.4490     0.1009
S460      2.7360     2.7630     -0.0270    0.0137
S461      3.0610     2.8700     0.1910     0.0437
S462      3.4370     3.0220     0.4150     0.1124
S463      3.0560     2.9200     0.1360     0.0298
S464      2.9820     2.7520     0.2300     0.0369
S465      2.9730     2.7140     0.2590     0.0491
S466      3.0510     2.7010     0.3500     0.0538
S467      2.7750     2.6830     0.0920     0.0288
S468      2.8790     2.8920     -0.0130    0.0271
S469      2.7880     2.6770     0.1110     0.0410
S470      2.6710     2.6490     0.0220     0.0131
S471      2.1340     2.0900     0.0440     0.0203
S472      2.4230     2.3070     0.1160     0.0233
S473      2.2630     2.2690     -0.0060    0.0223
S474      2.3520     2.1500     0.2020     0.0384
S475      2.7660     2.6800     0.0860     0.0337
S476      2.6740     2.5640     0.1100     0.0226
S477      2.7860     2.5900     0.1960     0.0328
S478      2.7270     2.5870     0.1400     0.0283
S479      2.8470     2.6620     0.1850     0.0610
S480      3.0230     2.6970     0.3260     0.1117
S481      2.9240     2.6940     0.2300     0.1045
S482      2.6770     2.5660     0.1110     0.0219
S483      2.8950     2.7530     0.1420     0.0588
S484      2.8370     2.6640     0.1730     0.0563
S485      2.8970     2.7590     0.1380     0.0555
S486      3.0730     2.7830     0.2900     0.1096
S487      2.9750     2.7850     0.1900     0.1036
S488      2.5060     2.1640     0.3420     0.1500
S489      3.0020     2.9870     0.0150     0.0426
S490      3.0000     2.9960     0.0040     0.0389
S491      3.1960     3.0480     0.1480     0.0861
S492      3.0890     3.0350     0.0540     0.0814
S493      2.5660     2.4860     0.0800     0.0184
S494      2.7360     2.5480     0.1880     0.0364
S495      2.6830     2.5360     0.1470     0.0270
S496      3.1090     3.0090     0.1000     0.0327
S497      3.0440     2.9920     0.0520     0.0224
S498      2.8610     2.6880     0.1730     0.0544
S499      2.8040     2.6770     0.1270     0.0410
S500      3.1230     2.9710     0.1520     0.1049
S501      3.0810     3.0290     0.0520     0.0802
S502      3.0970     3.0340     0.0630     0.0960
S503      2.7330     2.8240     -0.0910    0.0226
S504      3.0460     3.0170     0.0290     0.0800
S505      3.0670     3.0300     0.0370     0.0685
S506      3.0960     3.0400     0.0560     0.0853
S507      3.0780     3.0350     0.0430     0.0861
S508      3.0730     3.0340     0.0390     0.0867
S509      3.0620     3.0290     0.0330     0.0690
S510      3.0520     3.0250     0.0270     0.0672
S511      2.8280     2.5960     0.2320     0.1194
S512      2.8360     2.5960     0.2400     0.1376
S513      2.8160     2.5980     0.2180     0.1259
S514      2.8110     2.5960     0.2150     0.1286
S515      2.8560     2.4560     0.4000     0.1308
S516      3.1100     3.0410     0.0690     0.0734
S517      3.1260     3.0350     0.0910     0.1404
S518      3.0840     3.0310     0.0530     0.0762
S519      3.1180     3.0400     0.0780     0.1112
S520      3.0940     3.0420     0.0520     0.0753
S521      3.1090     3.0380     0.0710     0.1134
S522      2.9240     2.9230     0.0010     0.0464
S523      3.0940     3.0340     0.0600     0.0938
S524      3.0320     3.0210     0.0110     0.0733
S525      3.0310     3.0060     0.0250     0.0636
S526      3.0230     2.7880     0.2350     0.0602
S527      3.0230     2.8280     0.1950     0.0658
S528      3.0510     3.0180     0.0330     0.0744
S529      3.0950     3.0340     0.0610     0.1002
S530      3.0490     3.0280     0.0210     0.0677
S531      3.0880     2.5720     0.5160     0.1009
S532      3.0040     2.5480     0.4560     0.0955
S533      3.2860     3.2620     0.0240     0.0810
S534      3.1850     3.0860     0.0990     0.0569
S535      3.1060     3.0380     0.0680     0.0800
S536      3.0340     2.9170     0.1170     0.0892
S537      3.2080     3.2220     -0.0140    0.1390
S538      3.1260     3.0340     0.0920     0.1729
S539      3.0500     2.9090     0.1410     0.1757
S540      3.1870     3.1980     -0.0110    0.1378
S541      3.1330     3.1260     0.0070     0.0540
S542      3.0540     2.9310     0.1230     0.1684
S543      3.0380     2.9390     0.0990     0.0847
S544      3.0380     2.9310     0.1070     0.0863
S545      3.0520     2.9230     0.1290     0.1726
S546      3.0750     2.9680     0.1070     0.0885
S547      2.9400     2.6600     0.2800     0.1127
S548      3.0930     2.9610     0.1320     0.1872
S549      2.9510     2.6410     0.3100     0.2110
S550      3.0150     2.8320     0.1830     0.0975
S551      3.0220     2.7810     0.2410     0.2073
S552      2.9700     2.7290     0.2410     0.1067
S553      2.9830     2.7100     0.2730     0.2098
S554      2.6620     2.6660     -0.0040    0.0416
S555      2.3340     2.1130     0.2210     0.0460
S556      2.9180     2.7510     0.1670     0.0080
S557      2.2900     2.1460     0.1440     0.0359
S558      2.6890     2.7020     -0.0130    0.0022
S559      2.4230     2.3920     0.0310     0.0672
S560      2.6360     2.6570     -0.0210    0.0504
S561      2.4680     2.4170     0.0510     0.0794
S562      2.7000     2.4890     0.2110     0.1704
S563      2.6620     2.4900     0.1720     0.1507
S564      2.6080     2.4770     0.1310     0.1261
S565      2.5150     2.4430     0.0720     0.0900
S566      2.4400     2.4140     0.0260     0.0780
S567      2.4380     2.4120     0.0260     0.0681
S568      2.3810     2.3570     0.0240     0.0486
S569      2.4820     2.4160     0.0660     0.0744
S570      2.4270     2.3910     0.0360     0.0620
S571      2.3250     2.2680     0.0570     0.0753
S572      2.5860     2.4750     0.1110     0.1165
S573      2.5990     2.4930     0.1060     0.1350
S574      2.6020     2.4930     0.1090     0.1190
S575      2.6210     2.4870     0.1340     0.1195
S576      2.6310     2.5020     0.1290     0.1399
S577      2.6360     2.5040     0.1320     0.1229
S578      2.5030     2.4820     0.0210     0.1080
S579      2.4800     2.4570     0.0230     0.0849
S580      2.4700     2.4500     0.0200     0.0873
S581      2.4270     2.3920     0.0350     0.0727
S582      2.5090     2.4870     0.0220     0.1417
S583      2.4410     2.4100     0.0310     0.0834
S584      2.6210     2.4870     0.1340     0.1180
S585      2.6240     2.4870     0.1370     0.1195
S586      2.6260     2.4890     0.1370     0.1155
S587      2.6360     2.4880     0.1480     0.1217
S588      2.6320     2.4930     0.1390     0.1213
S589      2.6350     2.4920     0.1430     0.1229
S590      2.6230     2.4940     0.1290     0.1206
S591      2.6320     2.4960     0.1360     0.1230
S592      2.6310     2.4990     0.1320     0.1492
S593      2.8950     2.6910     0.2040     0.1025
S594      2.8980     2.6910     0.2070     0.1037
S595      2.8160     2.4680     0.3480     0.1229
S596      2.8600     2.5930     0.2670     0.1140
S597      2.5520     2.5410     0.0110     0.0611
S598      2.5560     2.4860     0.0700     0.1086
S599      2.4870     2.4560     0.0310     0.0485
S600      2.4010     2.3160     0.0850     0.0790
S601      2.4580     2.4210     0.0370     0.0618
S602      2.4260     2.3540     0.0720     0.0851
S603      2.4960     2.4810     0.0150     0.0984
S604      2.4180     2.3650     0.0530     0.0997
S605      2.4560     2.4160     0.0400     0.1123
S606      2.4790     2.3550     0.1240     0.1964
S607      2.4650     2.4420     0.0230     0.0826
S608      2.4090     2.3650     0.0440     0.0884
S609      2.4250     2.3860     0.0390     0.0975
S610      2.3790     2.3620     0.0170     0.0562
S611      2.4450     2.4180     0.0270     0.0935
S612      2.4110     2.3730     0.0380     0.0839
S613      2.4180     2.3790     0.0390     0.1028
S614      2.3850     2.3310     0.0540     0.1177
S615      2.5200     2.4310     0.0890     0.2264
S616      2.4950     2.3950     0.1000     0.2912
S617      2.4530     2.4030     0.0500     0.1112
S618      2.4890     2.3890     0.1000     0.1597
S619      2.4450     2.3480     0.0970     0.1641
S620      2.5150     2.4200     0.0950     0.1950
S621      2.4800     2.4300     0.0500     0.1412
S622      2.4410     2.3890     0.0520     0.1538
S623      2.2650     2.1190     0.1460     0.0118
S624      2.4820     2.4120     0.0700     0.0082
S625      2.3280     2.2640     0.0640     0.0132
S626      2.5650     2.5940     -0.0290    0.0057
S627      2.4740     2.3840     0.0900     0.0082
S628      2.2790     2.1430     0.1360     0.0184
S629      2.1030     1.9090     0.1940     0.0299
S630      2.6130     2.7080     -0.0950    0.0032
S631      1.9520     1.8860     0.0660     0.0233
S632      2.2290     2.1300     0.0990     0.0551
S633      2.1390     1.9540     0.1850     0.0253
S634      1.9530     1.9060     0.0470     0.0495
S635      2.5960     2.5270     0.0690     0.0961
S636      2.6710     2.6330     0.0380     0.0324
S637      2.5540     2.4730     0.0810     0.4635
S638      2.6540     2.5790     0.0750     0.0701
S639      2.6610     2.5430     0.1180     0.1064
S640      2.5390     2.5010     0.0380     0.0616
S641      2.8240     2.9020     -0.0780    0.0684
S642      2.7450     2.7910     -0.0460    0.0864
S643      2.5760     2.4680     0.1080     0.1942
S644      2.4590     2.4030     0.0560     0.1040
S645      2.5810     2.5150     0.0660     0.1116
S646      2.6990     2.7300     -0.0310    0.0838
S647      2.6650     2.5570     0.1080     0.1939
S648      2.6370     2.5240     0.1130     0.4179
S649      2.5280     2.4680     0.0600     0.2430
S650      2.0210     1.9680     0.0530     0.1009
S651      2.6540     2.5480     0.1060     0.2309
S652      2.3480     2.2270     0.1210     0.1615
S653      2.8770     2.9450     -0.0680    0.2230
S654      2.8070     2.8250     -0.0180    0.2522
S655      2.7500     2.7520     -0.0020    0.2261
S656      2.5560     2.4740     0.0820     0.5004
S657      2.5440     2.4880     0.0560     0.4283
S658      2.5480     2.4630     0.0850     0.5023
S659      2.5480     2.4850     0.0630     0.4463
S660      2.5740     2.5140     0.0600     0.4259
S661      2.5350     2.4600     0.0750     0.4311
S662      2.5420     2.4610     0.0810     0.4969
S663      2.5450     2.4620     0.0830     0.5177
S664      2.5440     2.4610     0.0830     0.5190
S665      2.5240     2.4610     0.0630     0.5024
S666      2.4610     2.3950     0.0660     0.2782
S667      2.5290     2.4620     0.0670     0.4531
S668      2.5320     2.4600     0.0720     0.5245
S669      2.5330     2.4320     0.1010     0.6594
S670      2.5230     2.4620     0.0610     0.5304
S671      2.5290     2.4640     0.0650     0.5313
S672      2.5300     2.4640     0.0660     0.5122
S673      2.5260     2.4580     0.0680     0.5229
S674      2.5240     2.4550     0.0690     0.4980
S675      2.5270     2.4450     0.0820     0.3948
S676      2.5530     2.4730     0.0800     0.4728
S677      2.4930     2.4170     0.0760     0.3907
S678      2.5620     2.4990     0.0630     0.4403
S679      2.5110     2.4570     0.0540     0.4274
S680      2.5210     2.4650     0.0560     0.4305
S681      2.4960     2.4180     0.0780     0.5581
S682      2.4750     2.3950     0.0800     0.4159
S683      2.5310     2.4560     0.0750     0.5643
S684      2.5010     2.4290     0.0720     0.5615
S685      2.5240     2.4440     0.0800     0.5988
S686      2.5140     2.4290     0.0850     0.6330
S687      2.4940     2.4390     0.0550     0.5088
S688      2.4130     2.3840     0.0290     0.4298
S689      2.5340     2.4530     0.0810     0.5859
S690      2.4960     2.4130     0.0830     0.6475
S691      2.0170     1.9540     0.0630     0.0986
S692      2.3450     2.2150     0.1300     0.1533
S693      2.6310     2.5360     0.0950     0.2368
S694      1.9710     1.9210     0.0500     0.0581
S695      2.6010     2.5310     0.0700     0.1114
S696      2.3080     2.1910     0.1170     0.0898
S697      1.9560     1.9140     0.0420     0.0777
S698      2.5820     2.5210     0.0610     0.1687
S699      2.2900     2.1800     0.1100     0.1234
S700      2.0200     1.9680     0.0520     0.1061
S701      2.6500     2.5450     0.1050     0.2464
S702      2.3450     2.2240     0.1210     0.1707
S703      2.0110     1.9610     0.0500     0.0929
S704      2.3330     2.2190     0.1140     0.1461
S705      2.6310     2.5440     0.0870     0.2013
S706      2.0130     1.9610     0.0520     0.0928
S707      2.6390     2.5460     0.0930     0.2216
S708      1.8970     1.8300     0.0670     0.0847
S709      2.3480     2.2260     0.1220     0.1437
