S1 c1cc2cccc3cccc(c1)-n-2-3
S2 c1cc2cccc3cncc(c1)-n-2-3
S3 c1cc2cccc3nccc(c1)-n-2-3
S4 c1cc2cccc3ncnc(c1)-n-2-3
S5 c1cc2cccc3nncc(c1)-n-2-3
S6 c1cc2cccc3nnnc(c1)-n-2-3
S7 c1cc2ccnc3ccnc(c1)-n-2-3
S8 c1cc2ccnc3cncc(c1)-n-2-3
S9 c1cc2ccnc3cncc(n1)-n-2-3
S10 c1cc2ccnc3cnnc(c1)-n-2-3
S11 c1cc2ccnc3nccc(c1)-n-2-3
S12 c1cc2ccnc3nccc(n1)-n-2-3
S13 c1cc2ccnc3ncnc(c1)-n-2-3
S14 c1cc2ccnc3ncnc(n1)-n-2-3
S15 c1cc2ccnc3nncc(c1)-n-2-3
S16 c1cc2ccnc3nncc(n1)-n-2-3
S17 c1cc2ccnc3nnnc(c1)-n-2-3
S18 c1cc2ccnc3nnnc(n1)-n-2-3
S19 c1cc2cncc3ccnc(c1)-n-2-3
S20 c1cc2cncc3ccnc(n1)-n-2-3
S21 c1cc2cncc3cncc(c1)-n-2-3
S22 c1cc2cncc3cncc(n1)-n-2-3
S23 c1cc2cncc3cnnc(c1)-n-2-3
S24 c1cc2cncc3cnnc(n1)-n-2-3
S25 c1cc2cncc3nccc(n1)-n-2-3
S26 c1cc2cncc3ncnc(c1)-n-2-3
S27 c1cc2cncc3ncnc(n1)-n-2-3
S28 c1cc2cncc3nncc(c1)-n-2-3
S29 c1cc2cncc3nncc(n1)-n-2-3
S30 c1cc2cncc3nnnc(c1)-n-2-3
S31 c1cc2cncc3nnnc(n1)-n-2-3
S32 c1cc2cnnc3ccnc(c1)-n-2-3
S33 c1cc2cnnc3ccnc(n1)-n-2-3
S34 c1cc2cnnc3cncc(n1)-n-2-3
S35 c1cc2cnnc3cnnc(c1)-n-2-3
S36 c1cc2cnnc3cnnc(n1)-n-2-3
S37 c1cc2cnnc3nccc(n1)-n-2-3
S38 c1cc2cnnc3ncnc(c1)-n-2-3
S39 c1cc2cnnc3ncnc(n1)-n-2-3
S40 c1cc2cnnc3nncc(c1)-n-2-3
S41 c1cc2cnnc3nncc(n1)-n-2-3
S42 c1cc2cnnc3nnnc(c1)-n-2-3
S43 c1cc2cnnc3nnnc(n1)-n-2-3
S44 c1cc2nccc3ccnc(c1)-n-3-2
S45 c1cc2nccc3cnnc(c1)-n-3-2
S46 c1cc2nccc3nccc(n1)-n-3-2
S47 c1cc2nccc3ncnc(c1)-n-2-3
S48 c1cc2nccc3nnnc(c1)-n-2-3
S49 c1cc2ncnc3cncc(n1)-n-2-3
S50 c1cc2ncnc3cnnc(c1)-n-2-3
S51 c1cc2ncnc3nccc(n1)-n-2-3
S52 c1cc2ncnc3ncnc(c1)-n-2-3
S53 c1cc2ncnc3ncnc(n1)-n-2-3
S54 c1cc2ncnc3nncc(n1)-n-2-3
S55 c1cc2ncnc3nnnc(c1)-n-2-3
S56 c1cc2ncnc3nnnc(n1)-n-2-3
S57 c1cc2nncc3cncc(n1)-n-3-2
S58 c1cc2nncc3cnnc(c1)-n-3-2
S59 c1cc2nncc3cnnc(n1)-n-3-2
S60 c1cc2nncc3nccc(n1)-n-3-2
S61 c1cc2nncc3ncnc(n1)-n-3-2
S62 c1cc2nncc3nncc(n1)-n-2-3
S63 c1cc2nncc3nnnc(c1)-n-2-3
S64 c1cc2nncc3nnnc(n1)-n-2-3
S65 c1cc2nnnc3ccnc(n1)-n-2-3
S66 c1cc2nnnc3cncc(n1)-n-2-3
S67 c1cc2nnnc3cnnc(n1)-n-2-3
S68 c1cc2nnnc3nccc(n1)-n-2-3
S69 c1cc2nnnc3ncnc(n1)-n-2-3
S70 c1cc2nnnc3nncc(n1)-n-2-3
S71 c1cc2nnnc3nnnc(c1)-n-2-3
S72 c1cc2nnnc3nnnc(n1)-n-2-3
S73 c1nc2ccnc3nccc(n1)-n-2-3
S74 c1nc2ccnc3nncc(n1)-n-2-3
S75 c1nc2cncc3cncc(n1)-n-3-2
S76 c1nc2cncc3cnnc(n1)-n-3-2
S77 c1nc2cncc3ncnc(n1)-n-2-3
S78 c1nc2cncc3nncc(n1)-n-2-3
S79 c1nc2cncc3nnnc(n1)-n-2-3
S80 c1nc2cnnc3cnnc(n1)-n-2-3
S81 c1nc2cnnc3ncnc(n1)-n-2-3
